Publisher,Comic_Issue_Number,Title,Description,Condition,Grade_Condition,Price_Paid,Price_Tag
Marvel,21,Marvel Team-up,Marvel Team-up (Spider-man and Doctor Strange),Near Mint,A,61.26,79.64
Marvel,22,Marvel Team-up,Marvel Team-up (Spider-man and Hawkeye),"Top right corner is slightly folded,Bottom left slightly torn, Fair",B-,2.07,2.70
Marvel,24,Marvel Team-up,Marvel Team-up (Spider-man and Brother VooDoo),"Top left corner not in best shape, Near mint -",A,3.66,4.76
Marvel,25,Marvel Team-up,Marvel Team-up (Spider-man and Daredevil),"Fair, corners are worse for ware",B-,31.13,40.47
Marvel,26,Marvel Team-up,Marvel Team-up (Human Torch and Thor),Mint,A+,45.38,59.00
Marvel,27,Marvel Team-up,Marvel Team-up (Spider-man and the Incredible Hulk),"top and bottom right corners folded, fair",B-,21.83,28.38
Marvel,28,Marvel Team-up,Marvel Team-up (Spider-man and Hercules),"Fair, corners are worse for ware",B-,19.16,24.91
Marvel,29,Marvel Team-up,Marvel Team-up (Human Torch and Iron Man),"Bottom right and left corners creases and missing some flakes, okay",B,61.21,79.58
Marvel,30,Marvel Team-up,Marvel Team-up (Spider-man and the Falcon),Near Mint,A,97.80,127.14
Marvel,31,Marvel Team-up,Marvel Team-up (Spider-man and Iron Fist),Near Mint,A,8.03,10.45
Marvel,32,Marvel Team-up,Marvel Team-up (Human Torch and the Son of Satan),Fair condition,B-,99.75,129.67
Marvel,33,Marvel Team-up,Marvel Team-up (Spider-man and Nighthawk),Near Mint,A,23.55,30.61
Marvel,34,Marvel Team-up,Marvel Team-up (Spider-man and Valkyrie),Fair condition,B-,13.09,17.01
Marvel,35,Marvel Team-up,Marvel Team-up (Human Torch and Doctor Strange),Mint,A+,25.60,33.28
Marvel,36,Marvel Team-up,Marvel Team-up (Spider-man and the Frankenstein Monster),Mint,A+,78.60,102.18
Marvel,49,Marvel Team-up,Marvel Team-up (Spider-man and Iron Man),Near Mint,A,42.77,55.60
Marvel,50,Marvel Team-up,Marvel Team-up (Spider-man and Dr. Strange),Mint,A+,96.80,125.84
Marvel,51,Marvel Team-up,Marvel Team-up (Spider-man and Iron Man),Mint,A+,86.76,112.79
Marvel,52,Marvel Team-up,Marvel Team-up (Spider-man and Captain America),Mint,A+,11.14,14.48
Marvel,53,Marvel Team-up,Marvel Team-up (Spider-man and the Incredible Hulk),Mint,A+,70.46,91.60
Marvel,54,Marvel Team-up,Marvel Team-up (Spider-man and the Incredible Hulk),Mint,A+,8.30,10.79
Marvel,56,Marvel Team-up,Marvel Team-up (Spider-man and Daredevil),"top and bottom left corners missing some cover, good condition",B+,61.99,80.59
Marvel,57,Marvel Team-up,Marvel Team-up (Spider-man and the Black Widow),Mint,A+,23.41,30.43
Marvel,58,Marvel Team-up,Marvel Team-up (Spider-man and Ghost Rider),"Top Right Corner is dented, good condition",B+,92.91,120.79
Marvel,59,Marvel Team-up,Marvel Team-up (Spider-man plus Yellow Jacket and the Wasp),Mint,A+,47.75,62.08
Marvel,60,Marvel Team-up,Marvel Team-up (Spider-man and the Wasp),"Bottom right corner is bent, good condition",B+,30.15,39.20
Marvel,61,Marvel Team-up,Marvel Team-up (Spider-man and the Human Torch),Mint,A+,18.91,24.59
Marvel,61,Marvel Team-up,Marvel Team-up (Spider-man and the Human Torch),Mint,A+,31.34,40.74
Marvel,62,Marvel Team-up,Marvel Team-up (Spider-man and Ms. Marvel),Fair condition,B-,12.40,16.12
Charlton,4,Vengeance Squad,Vengeance Squad,"Bottom right corner dented a bit, good condition, spine bent a bit",B+,50.08,65.11
DC,194,Star Spangled War Stories,Star Spangled War (the Unknown Soldier),"top right corner in fair, good condition",B-,80.39,104.51
DC,2,Star Hunters,Star Hunters,"Bottom Right and left corners dented a bit, great condition",B+,94.29,122.58
DC,3,Star Hunters,Star Hunters (the Sowers of Holocaust),Mint,A+,37.50,48.75
DC,5,The Secret Society of Super Villains,the Secret Society of Super Villains (San Francisco),"Top left corner bent, spine is good, near mint",B+,74.22,96.48
DC,229,World's Finest Comics,Worlds' Finest Comics (Superman and Batman),Fair condition,B-,16.86,21.92
Marvel,132,Daredevil,Daredevil (Bullseye second appearance),Mint,A+,14.58,18.95
DC,41,Challengers of the Unknown,Challengers of the Unknown (the Challenger Who Quit),"Nice Fair condidtion, some writing on back top corner, spine is okay",B-,34.35,44.65
DC,48,Challengers of the Unknown,Challengers of the Unknown (The Doom Patrol),Fair condition,B-,44.43,57.76
DC,53,Challengers of the Unknown,Challengers of the Unknown (Dreadful Dimension man),"tear on front cover, in bad condition, really fair",C,41.97,54.57
Marvel,63,Marvel Team-up,Marvel Team-up (Spider-man and Iron Fist),Mint Condition,A+,34.81,45.25
Marvel,64,Marvel Team-up,Marvel Team-up (Spider-man and Daughters of the Dragon),"bottom right corner dented, great condition",B+,91.76,119.29
Marvel,65,Marvel Team-up,"Marvel Team-up (Spider-man and Captain Britain,1st US apperence of CB)",Mint Condition,A+,36.83,47.87
Marvel,66,Marvel Team-up,"Marvel Team-up (Spider-man and Captain britain Trapped in Murder World, 1st apperence of arcade)",Mint Condition,A+,84.91,110.38
Marvel,67,Marvel Team-up,"Marvel Team-up (Spider-man and Tigra,Kraven apperence)",VG Fair,B-,83.17,108.13
Marvel,67,Marvel Team-up,"Marvel Team-up (Spider-man and Tigra,Kraven apperence)","print error on bottom, mint",A+,32.15,41.79
Marvel,68,Marvel Team-up,Marvel Team-up (Spider-man and the Man-Thing),"Bottom right Corner creased, mint",A+,78.25,101.72
Marvel,37,Marvel Team-up,Marvel Team-up (Spider-man and Man-Wolf),Mint Condition,A+,3.07,3.99
Marvel,38,Marvel Team-up,Marvel Team-up (Spider-man and the Beast),Fair,B-,43.29,56.28
Marvel,39,Marvel Team-up,Marvel Team-up (Spider-man and the Human Torch),"weird printing error with pages, corners are okay, fair",B,48.88,63.54
Marvel,40,Marvel Team-up,Marvel Team-up (Spider-man and the Sons of the Tigers),Fair condition,B-,68.69,89.29
Marvel,41,Marvel Team-up,Marvel Team-up (Spider-man and the Scarlet Witch),Mint Condition,A+,4.10,5.34
Marvel,42,Marvel Team-up,Marvel Team-up (Spider-man and the Vision),"bottom right corner bent, great condition",B+,48.22,62.69
Marvel,43,Marvel Team-up,"Marvel Team-up (Spider-man and Dr.Doom, Etells Origin)",Fair ish condition,B-,87.19,113.35
Marvel,44,Marvel Team-up,Marvel Team-up (Spider-man and MoonDragon + Galore),Mint,A+,29.80,38.74
Marvel,45,Marvel Team-up,Marvel Team-up (Spider-man and Killraven),Fair condition better than most,B-,37.31,48.50
Marvel,46,Marvel Team-up,Marvel Team-up (Spider-man and Deathhlok),VG mint,A+,82.53,107.29
Marvel,47,Marvel Team-up,Marvel Team-up (Spider-man and the Thing),VG Fair +,B-,56.86,73.92
Marvel,48,Marvel Team-up,"Marvel Team-up (Spider-man and Iron Man, last 25 cent issue)",Mint,A+,91.30,118.69
Marvel,69,Marvel Team-up,Marvel Team-up (Spider-man and Havok),Mint,A+,1.18,1.54
Marvel,69,Marvel Team-up,Marvel Team-up (Spider-man and Havok),Mint,A+,37.07,48.20
Marvel,70,Marvel Team-up,Marvel Team-up (Spider-man and Thor),VG mint,A+,39.95,51.93
Marvel,70,Marvel Team-up,Marvel Team-up (Spider-man and Thor),VG Fair +,B-,12.37,16.09
Marvel,71,Marvel Team-up,Marvel Team-up (Spider-man and Falcon),"bottom right corner is creased, Great condition",B+,91.45,118.89
Marvel,72,Marvel Team-up,Marvel Team-up (Spider-man and Iron Man),Mint Condition,A+,3.40,4.42
Marvel,73,Marvel Team-up,Marvel Team-up (Spider-man and Daredevil),Mint Condition,A+,3.70,4.80
Marvel,75,Marvel Team-up,"Marvel Team-up (Spider-man and Power Man, luke Cage Appearence)",Corners are okay Fair +,B,29.91,38.89
Marvel,76,Marvel Team-up,Marvel Team-up (Spider-man and Dr. Strange),Mint,A+,50.75,65.97
Marvel,76,Marvel Team-up,Marvel Team-up (Spider-man and Dr. Strange),"top right corner dented , great condition",B+,15.73,20.45
Marvel,77,Marvel Team-up,Marvel Team-up (Spider-man and Ms. Marvel),Mint Condition,A+,60.59,78.77
Marvel,95,Marvel Team-up,Marvel Team-up (Spider-man and Mockingbird),Mint ++,A+,44.90,58.36
Marvel,75,Daredevil,Daredevil (El Condor),"okay condition, slight crease on top",B,38.22,49.69
Marvel,138,Daredevil,Daredevil (Ghost Rider),"top right corner slightly dented, Great condition",B+,25.32,32.91
Marvel,98,Daredevil,"Daredevil (Black Widow, deciples of doom)","top right creased, good condition other wise",B+,69.09,89.82
Marvel,112,Daredevil,Daredevil (Murder cries the Mandrill),"corner and spine is okay, fair condition",B,5.56,7.22
Marvel,130,Daredevil,Daredevil (the Darkness of Death),Mint Condition,A+,8.40,10.92
Marvel,117,Daredevil,Daredevil (Mindtap),Near Mint,A,78.15,101.59
DC,21,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Eather (Crab Moster)",Near Mint,A,80.80,105.04
Gold Key,19,the Lone Ranger,the Lone Ranger (a masked opera singer ensnares a gang of bandits),Bottom right corner is okay,B,94.66,123.05
Marvel,6,"Peter Porker, the Spectacular Spider-Ham","Peter Porker, the Spectacular Spider-Ham (Vegtables with guns)","Mint, white pages",A+,27.73,36.05
Marvel,103,Daredevil,Daredevil (Black Widow),Fair + Condition,B-,78.63,102.22
Marvel,130,Daredevil,Daredevil (the Darkness of Death),"Major crease top right corner, spine is off",C,69.22,89.98
Marvel,144,Daredevil,Daredevil (Man-Bull Breaks out),Mint,A+,36.09,46.91
Marvel,124,Daredevil,Daredevil (Copperhead),"Mint , Spine a little creased",A+,94.96,123.44
Marvel,81,Daredevil,Daredevil (Death is a Black Widow),Fair + condition,B-,24.50,31.85
Marvel,110,Daredevil,Daredevil (the Master),"small rip in bottom left, bottom right corner is okay, fair",B,34.53,44.88
Marvel,145,Daredevil,Daredevil (Deadly is the Owl by Night),Mint,A+,34.21,44.48
Marvel,105,Daredevil,Daredevil (Art: Jim Starlin. Origin of Moondragon),Mint,A+,51.24,66.61
Marvel,128,Daredevil,Daredevil (Stairway to Slaughter),Mint,A+,89.91,116.89
Marvel,119,Daredevil,Daredevil (Chaos is the Crusher),Mint,A+,65.14,84.69
Marvel,43,Daredevil,"Daredevil (origin retold, Captin America)","Worse for wear, both right corners are creased and chunked, Fair -",B-,45.64,59.34
Marvel,114,Daredevil,Daredevil (Man-Thing Stalks this Swamp),"Bottom right corner is folded, NM",A,50.07,65.10
Marvel,48,Daredevil,Daredevil (Stilt-man),"top right corner is creased, good condition",B+,37.81,49.16
Marvel,139,Daredevil,Daredevil (Fighting Mad),Mint,A+,76.32,99.22
Marvel,150,Daredevil,Daredevil (1st Apperence of the Paladin),"Mint, slight damnage to inside bottom of pages",A+,84.56,109.93
Marvel,152,Daredevil,Daredevil (Paladin is back),"bottom left corner is torn, fair",B-,71.19,92.55
Marvel,118,Daredevil,Daredevil (Circus Spelled sideways is Death),"Top corner is creased a bit, bottom is missing chunks, spine is off",C,55.23,71.80
Marvel,127,Daredevil,Daredevil (the Torpedo Strikes at Dawn),Mint,A+,68.04,88.45
Marvel,56,Daredevil,Daredevil (Death's Head Came Riding),"bottom left corner is creased, Near mint",A,75.94,98.72
Marvel,156,Daredevil,Daredevil (the ring of no return),"top left corner is torn , Near mint",A,19.96,25.95
Marvel,147,Daredevil,Daredevil (Breaking Point),Mint,A+,4.32,5.61
Marvel,111,Daredevil,Daredevil (First appearance of Silver Samurai),Mint,A+,83.81,108.96
DC,5,Jonah Hex,Jonah Hex (Welcome to Paradise),Mint,A+,32.50,42.25
DC,7,Star Hunters,Star Hunters (Victory of Earth),Mint,A+,85.31,110.90
DC,9,Claw the Unconquered,Claw the Unconquered (Origin of Claw),Mint,A+,3.68,4.79
DC,255,Edgar Rice Burroughs' Tarzan,Edgar Rice Burroughs' Tarzan (the Untamed),"Bottom left corner frayed a bit, good condition",B+,55.60,72.28
DC,15,Karate Kid,"Karate Kid (Future, guest starring Kamandi)","bottom left corner frayed a bit, good condition",B+,48.87,63.54
DC,27,DC Special,DC Special (Captain Comet Vs. Danger: Dinosaurs at Large),Mint,A+,4.65,6.05
DC,245,Edgar Rice Burroughs' Tarzan,Edgar Rice Burroughs' Tarzan (the Jungle Murders),"rigth bottom corner is creased, good condition",B+,56.91,73.98
DC,17,Jonah Hex,Jonah Hex (Air Ballon),Mint,A+,17.53,22.80
DC,2,Jonah Hex,Jonah Hex (Horse jumping),Near Mint,A,36.31,47.20
DC,9,Jonah Hex,Jonah Hex (Slow Death),Near Mint,A,90.55,117.71
DC,19,"Kamandi, the Last Boy on Earth","Kamandi, the Last Boy on Eather (the last gang in chicago)","bottom corners are creased or torn, good ish condition",B+,15.71,20.42
DC,15,Jonah Hex,Jonah Hex (Freak),Near Mint,A,36.03,46.84
DC,16,Jonah Hex,Jonah Hex (Noose),Near Mint,A,87.46,113.70
DC,1,Jonah Hex,Jonah Hex (Coffin),Near Mint,A,30.30,39.39
DC,17,Batman Family,Batman Family (stars),Near Mint,A,64.66,84.06
DC,2,The Secret Society of Super Villains,The Secret Society of Super Villains (no man shall I call master),"Black mark over price, corners are good, fair",B+,74.35,96.65
DC,1,The Secret Society of Super Villains Special,The Secret Society of Super Villains Special (1977),"Bottom right and top left corner is creased, fair",B-,46.51,60.46
DC,10,Super Team Family,Super Team Family (Multi-man Rules the Earth),"Bottom right and top left corner is creased, fair",B-,6.82,8.86
DC,13,Super Team Family,"Super Team Family (Aquaman and Captain Comet, the atom)","bottom corners are creased, fair",B-,85.83,111.58
DC,3,The Secret Society of Super Villains,The Secret Society of Super Villains (the war to rule the universe),Near Mint,A,31.72,41.24
DC,137,Superboy,Superboy (Mystery of the Mighty Mite),Poor Condition,C,27.61,35.89
DC,8,"Richard Dragon, Kung-Fu Fighter","Richard Dragon, Kung-Fu Fighter (Deadliest of Them All)","Top Right corners creased, bottom right corner creased, okay condition",B,31.36,40.76
DC,1,Karate Kid,Karate Kid (Crasing in),Near Mint,A,30.79,40.03
DC,223,World's Finest Comics,"World's Finest Comics (superman, batman, and deadman)","bottom right corner is okay, fair condition",B,4.01,5.21
DC,227,World's Finest Comics,"World's Finest Comics (superman, batman, and deadman)","bottom left corner is trashed, fair condition",B-,57.98,75.37
DC,143,World's Finest Comics,World's Finest Comics (Superman and batman),"bottom corners creased and torn, fair -",B-,68.56,89.13
DC,8,The Secret Society of Super-Villains,The Secret Society of Super-Villains (the Trickster),top has rip near top right corner,C,29.14,37.88
DC,14,Karate Kid,Karate Kid (diamondeth is Forever),Near Mint,A,25.98,33.77
DC,170,Superman,"Superman (if Luthor were Superman's Father""","Fair Condition, corners are bad and creased",B-,48.46,63.00
DC,160,Superman,Superman (when Superman lost his powers),"not good at all creased and spine is awful, fair-",B+,44.44,57.78
DC,64,Challengers of the Unknown,Challengers of the Unknown (invitation to a Hanging),"creased, not good condition, Fair to good maybe",B+,36.65,47.64
DC,6,Karate Kid,Karate Kid (legion of Super-heroes),Near mint,A,71.65,93.14
DC,4,Karate Kid,Karate Kid (master Hand),"top right and bottom right corners gashed in , good condition",B+,52.43,68.16
DC,4,Firestorm the Nuclear Man,Firestorm the Nuclear Man (hyena),"top right creased, near mint",A,62.44,81.18
DC,46,Metal Men,Metal Men (the Crown King of Chemical Crime),Near mint,A,27.11,35.25
DC,50,Metal Men,Metal Men (turnabout is fair play),Near Mint,A,93.77,121.90
DC,54,Metal Men,Metal Men (the end?),Near Mint,A,82.17,106.82
DC,55,Metal Men,Metal Men (Rain of Destruction),Near Mint,A,4.29,5.58
DC,47,Metal Men,Metal Men (X-effect),"Bottom left corner is missing paper, Fair Condition",B-,34.07,44.29
DC,8,Metal Men,Metal Men (Playground of Terror),"Corners creased, fair -",B-,42.02,54.63
DC,16,The Warlord,The Warlord (deimos),Near Mint,A,44.08,57.31
DC,15,The Warlord,The Warlord (Holocaust),Near Mint,A,79.45,103.29
DC,13,The Warlord,The Warlord (the Hunter),"bottom right corner creased, good condition",B+,96.86,125.92
DC,11,The Warlord,The Warlord (Gun),Near Mint,A,42.46,55.19
DC,7,The Warlord,The Warlord (why does his friend greet him with death),"bottom right corner creased, great condition",B+,76.07,98.89
DC,4,The Warlord,The Warlord (Deimos),"Bottom right and top right corners are creased, near mint",A,64.40,83.72
DC,3,The Warlord,The Warlord (the mightiest warrior of them all),Near Mint,A,71.14,92.48
DC,1,The Warlord,The Warlord (first issue),Near Mint,A,78.64,102.23
DC,168,World's Finest Comics,Worlds' Finest Comics (Superman and Batman and robin),Fair to okay condition,B-,92.69,120.50
DC,461,Adventure Comics,Adventure Comics (Start of Justice Society in adventure comics),"Great Condition, corners are great, Colors vibrant",B+,86.40,112.32
DC,15,DC Super-Stars,DC Super-Stars (Sgt.Rock and Unknown Soldier),Near Mint,A,83.26,108.24
DC,19,New Gods,"New Gods (Return,last issue)","good ish condition, corners are good, slight tear near left corner",B+,60.49,78.63
DC,13,New Gods,New Gods (Beginning Darkseid's War on Earth),Fair ish condition,B-,96.56,125.53
Charlton,6,Vengeance Squad,Vengeance Squad (10p Variant),"Corners are okay, spine bent a bit, Coloring off",B,18.66,24.26
DC,44,Weird Western Tales,"Weird Western Tales (Scalphunter is whut they call yuh, redskin)",Near Mint,A,88.86,115.52
DC,47,Weird Western Tales,Weird Western Tales (Scalphunter),"bottom right corner bent, good condition",B+,47.29,61.48
DC,114,Brave and the Bold,Brave and the Bold (Batman and Aquaman),"Left corners and spine in bad condition, fair condition",C,88.04,114.45
DC,39,Weird War Tales,Weird War Tales (underwater),"Great Condition, corners are great, Colors vibrant",B+,34.20,44.46
DC,38,Weird War Tales,Weird War Tales (ghoul),Great Condition,B+,84.55,109.91
Atlas,3,Wulf the Barbian,Wulf the Barbain (the Revenge of the Rat Creatures),Fair Condition,B-,81.13,105.46
DC,224,World's Finest Comics,World's Finest Comics (The Sons of Superman and Batman),"Spine is in bad condition, corners not great, fair condition",C,11.98,15.58
Charlton,2,Vengeance Squad,Vengence Squad (uzi),"Fair condition, bottom corners are bent or dented",B-,40.64,52.83
Charlton,3,Vengeance Squad,Vengence Squad (Grenade),"Okay condition, bend over barcode",B,10.68,13.89
DC,3,Weird Worlds,Weird Worlds (Tarzan),"Fair condition,corners and spine in bad condition, tears around",B-,81.08,105.40
DC,9,Weird Worlds,Weird Worlds (Iron Wolf),very fine,A,19.88,25.84
DC,8,Weird Worlds,Weird Worlds (Iron Wolf),"Top left Corner bent, spine good, okay condition",B+,23.97,31.16
DC,35,Weird War Tales,Weird War Tales (Man-monkey),"Bottom right corner folded, tear along bottom",B,68.68,89.29
DC,220,World's Finest Comics,World's Finest Comics (superman and batman),"right corners creased and left bottom is too, fair condition",B-,13.01,16.91
DC,236,World's Finest Comics,"World's Finest Comics (Superman, batman, and the atom)","bottom right corner creased, good condition",B+,25.61,33.29
DC,121,Brave and the Bold,Brave and the Bold (Batman and Metal Men),"top right creased a little, near mint",A,74.74,97.16
DC,119,Brave and the Bold,Brave and the Bold (Batman and Man-bat),"Bottom left corner is torn, fair",B-,33.33,43.33
DC,132,Brave and the Bold,Brave and the Bold (Batman and Kung-Fu Fighter),"Bottom right corner is folded, good condition",B+,63.64,82.73
DC,140,Brave and the Bold,Brave and the Bold (Batman and Wonder Woman),"rigth corners folded, good condition",B+,6.98,9.07
DC,131,Brave and the Bold,Brave and the Bold (Batman and Wonder Woman vs. the Catwoman),"very fair condidtion creases and ware, corners are bad",B-,58.39,75.91
DC,127,Brave and the Bold,Brave and the Bold (Batman and Wildcat),Near Mint,A,51.39,66.81
DC,117,Brave and the Bold,Brave and the Bold (Batman and Sgt. Rock),"Fair Condition, spine bad, corners bad, heavy wear",B-,3.23,4.19
DC,133,Brave and the Bold,Brave and the Bold (Batman and Deadman),"Near mint, spine bent a little",A,4.51,5.87
DC,128,Brave and the Bold,Brave and the Bold (Batman and Mister Miracle),"blue mark over month, bottom left corner torn, top right corner creased",C,3.93,5.11
DC,124,Brave and the Bold,Brave and the Bold (Batman and Sgt. Rock),"bottom left corner creased, great condidtion",B+,26.98,35.07
DC,141,Brave and the Bold,Brave and the Bold (Batman and Black Canary),"bottom left corner is creased a bit, great condition",B+,65.62,85.31
DC,122,Brave and the Bold,Brave and the Bold (Batman and Swamp Thing),"Good condition, printing error cut off the right side with number",B+,45.21,58.78
DC,118,Brave and the Bold,Brave and the Bold (Batman and Wildcat co-staring the Joker),"top right corner is creased, spine is okay, near mint",B,93.58,121.65
DC,131,Brave and the Bold,Brave and the Bold (Batman and Wonder Woman vs. the Catwoman),"bottom right corner creased, great condition",B+,20.44,26.57
DC,135,Brave and the Bold,Brave and the Bold (Batman and Metal Men),Near Mint,A,32.90,42.77
DC,136,Brave and the Bold,Brave and the Bold (Batman and Green Arrow team up with the Metal Men),"bottom two corners bent and dented, spine is good, near mint",B+,21.46,27.89
DC,115,Brave and the Bold,"Brave and the Bold (Batman and the Atom, retold viking prince origin)","Top right corner is okay, spine is great, great condition",B,87.73,114.05
DC,1,Dynamic Classics,Dynamic Classics (Neal Adams Batman),Near Mint,A,17.91,23.29
Charlton,19,Haunted,Haunted (ghost and tentecles),"Fair condition, corners are bad, spine is bad, creases all around",B-,90.82,118.07
